2.4500E25  9.17E-3
2.2310E25  9.17E-3
2.0280E25  8.84E-3
1.8270E25  8.34E-3
1.6560E25  7.69E-3
1.4990E25  7.37E-3
1.3530E25  7.04E-3
1.2180E25  6.71E-3
1.0950E25  6.39E-3
9.7890E24  6.39E-3
8.7470E24  6.39E-3
7.7800E24  6.71E-3
6.9040E24  7.04E-3
6.0790E24  7.37E-3
5.3770E24  7.37E-3
4.6970E24  7.72E-3
4.0840E24  7.67E-3
3.4860E24  1.14E-2
2.8770E24  1.88E-2
2.3810E24  2.95E-2
1.9810E24  3.62E-2
1.6510E24  3.88E-2
1.3810E24  4.32E-2
1.1690E24  5.19E-2
9.9200E23  5.57E-2
8.4130E23  5.93E-2
7.2610E23  6.05E-2
6.2540E23  5.92E-2
5.2480E23  5.56E-2
4.5275E23  5.14E-2
3.8070E23  4.62E-2
3.3180E23  4.13E-2
2.8300E23  3.60E-2
2.4660E23  3.14E-2
2.1030E23  2.68E-2
1.8340E23  2.29E-2
1.5640E23  1.91E-2
1.3640E23  1.59E-2
1.1650E23  1.30E-2
1.0180E23  1.07E-2
8.7030E22  8.52E-3
7.6720E22  6.87E-3
6.6400E22  5.39E-3
5.8450E22  4.30E-3
5.0500E22  3.33E-3
4.4460E22  2.65E-3
3.8430E22  2.04E-3
3.3940E22  1.63E-3
2.9460E22  1.27E-3
2.6180E22  1.04E-3
2.2910E22  8.37E-4
