2.5490E25  6.54E-3
2.3050E25  7.21E-3
2.0800E25  7.48E-3
1.8730E25  7.76E-3
1.6820E25  8.02E-3
1.5080E25  8.56E-3
1.3570E25  9.48E-3
1.2160E25  1.00E-2
1.0880E25  1.06E-2
9.7010E24  1.47E-2
8.6160E24  1.73E-2
7.4020E24  2.40E-2
6.3630E24  2.78E-2
5.4710E24  2.91E-2
4.6990E24  3.00E-2
4.0550E24  3.02E-2
3.4760E24  3.15E-2
2.9870E24  3.18E-2
2.5680E24  3.55E-2
2.2080E24  4.00E-2
1.8990E24  4.25E-2
1.6320E24  4.69E-2
1.4030E24  4.93E-2
1.2070E24  4.75E-2
1.0330E24  4.62E-2
8.8340E23  4.23E-2
7.6780E23  3.94E-2
6.6580E23  3.61E-2
5.6380E23  3.23E-2
4.8850E23  2.88E-2
4.1310E23  2.51E-2
3.6100E23  2.38E-2
3.0880E23  2.19E-2
2.6880E23  2.01E-2
2.2880E23  1.80E-2
1.9900E23  1.61E-2
1.6920E23  1.40E-2
1.4760E23  1.21E-2
1.2600E23  1.03E-2
1.1000E23  8.58E-3
9.4020E22  7.01E-3
8.2990E22  5.62E-3
7.1950E22  4.38E-3
6.3670E22  3.52E-3
5.5390E22  2.75E-3
4.9120E22  2.21E-3
4.2850E22  1.73E-3
3.8040E22  1.38E-3
3.3220E22  1.08E-3
2.9520E22  8.74E-4
2.5810E22  6.87E-4
