Wavelength	Actinic_flux	I2	IO	OIO	I2O2	I2O3	I2O4	I2O5	HOI	HI	INO2	INO3	Ibr	Icl	CH3I	CH2I2	CH2ICl	CH2IBr	C2H5I	nC3H7I	iC3H7I
3.00E+02	6.92E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.15E-18	1.16E-17	2.86E-20	2.23E-20	3.73E-19	5.25E-18	1.24E-19	6.08E-20	2.06E-20	3.57E-18	2.59E-19	6.06E-19	2.78E-20	2.96E-20	6.94E-20
3.01E+02	7.02E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.43E-18	1.10E-17	3.37E-20	2.07E-20	3.60E-19	5.19E-18	1.20E-19	5.93E-20	1.81E-20	3.53E-18	2.41E-19	5.71E-19	2.43E-20	2.62E-20	6.12E-20
3.02E+02	6.83E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.45E-18	1.05E-17	3.88E-20	1.92E-20	3.47E-19	5.13E-18	1.15E-19	5.78E-20	1.60E-20	3.50E-18	2.22E-19	5.35E-19	2.13E-20	2.33E-20	5.40E-20
3.03E+02	9.34E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.97E-18	9.94E-18	4.39E-20	1.77E-20	3.34E-19	5.07E-18	1.11E-19	5.63E-20	1.41E-20	3.46E-18	2.04E-19	5.00E-19	1.87E-20	2.06E-20	4.77E-20
3.04E+02	9.51E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.71E-18	9.42E-18	4.90E-20	1.64E-20	3.21E-19	5.01E-18	1.06E-19	5.48E-20	1.24E-20	3.42E-18	1.85E-19	4.64E-19	1.64E-20	1.83E-20	4.22E-20
3.05E+02	9.86E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.50E-18	8.90E-18	5.41E-20	1.52E-20	3.08E-19	4.95E-18	1.02E-19	5.34E-20	1.10E-20	3.39E-18	1.67E-19	4.29E-19	1.44E-20	1.63E-20	3.73E-20
3.06E+02	8.70E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.38E-18	8.42E-18	6.18E-20	1.40E-20	2.96E-19	4.88E-18	9.73E-20	5.19E-20	9.76E-21	3.34E-18	1.55E-19	4.06E-19	1.27E-20	1.46E-20	3.30E-20
3.07E+02	9.35E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.16E-18	7.95E-18	6.95E-20	1.29E-20	2.84E-19	4.82E-18	9.29E-20	5.04E-20	8.68E-21	3.29E-18	1.44E-19	3.83E-19	1.12E-20	1.30E-20	2.93E-20
3.08E+02	1.00E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.97E-18	7.49E-18	7.72E-20	1.19E-20	2.71E-19	4.75E-18	8.84E-20	4.89E-20	7.75E-21	3.24E-18	1.32E-19	3.60E-19	9.90E-21	1.17E-20	2.60E-20
3.09E+02	9.02E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.79E-18	7.04E-18	8.49E-20	1.10E-20	2.59E-19	4.69E-18	8.40E-20	4.74E-20	6.93E-21	3.19E-18	1.21E-19	3.37E-19	8.77E-21	1.05E-20	2.30E-20
3.10E+02	8.32E+13	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.62E-18	6.60E-18	9.26E-20	1.01E-20	2.47E-19	4.62E-18	7.95E-20	4.59E-20	6.21E-21	3.14E-18	1.09E-19	3.14E-19	7.77E-21	9.45E-21	2.04E-20
