Wavelength	Actinic_flux	SIG	SIGNO3	PHINO3A	PHINO3B
3.97E+02	1.30E+14	3.69E-23	0	1	0
3.98E+02	2.61E+14	3.77E-23	0	1	0
3.99E+02	3.26E+14	3.96E-23	0	1	0
4.00E+02	3.40E+14	4.01E-23	0	1	0
4.01E+02	3.54E+14	4.16E-23	0	1	0
4.02E+02	3.67E+14	4.29E-23	0	1	0
4.03E+02	3.53E+14	4.31E-23	2.00E-20	1	0
4.04E+02	3.59E+14	4.28E-23	0	1	0
4.05E+02	3.50E+14	4.26E-23	3.00E-20	1	0
4.06E+02	3.41E+14	4.42E-23	2.00E-20	1	0
4.07E+02	3.34E+14	4.72E-23	1.00E-20	1	0
4.08E+02	3.49E+14	5.06E-23	3.00E-20	1	0
4.09E+02	3.73E+14	5.34E-23	0	1	0
4.10E+02	3.17E+14	5.42E-23	1.00E-20	1	0
4.11E+02	3.55E+14	5.44E-23	2.00E-20	1	0
4.12E+02	3.77E+14	5.36E-23	5.00E-20	1	0
4.13E+02	3.62E+14	5.12E-23	5.00E-20	1	0
4.14E+02	3.57E+14	5.19E-23	2.00E-20	1	0
4.15E+02	3.70E+14	5.59E-23	6.00E-20	1	0
4.16E+02	3.80E+14	5.97E-23	6.00E-20	1	0
4.17E+02	3.71E+14	6.22E-23	7.00E-20	1	0
4.18E+02	3.55E+14	6.40E-23	5.00E-20	1	0
4.19E+02	3.69E+14	6.26E-23	8.00E-20	1	0
4.20E+02	3.38E+14	6.30E-23	8.00E-20	1	0
4.21E+02	3.84E+14	6.65E-23	8.00E-20	1	0
4.22E+02	3.79E+14	7.24E-23	9.00E-20	1	0
4.23E+02	3.67E+14	8.01E-23	1.10E-19	1	0
4.24E+02	3.65E+14	8.95E-23	9.00E-20	1	0
4.25E+02	3.76E+14	9.55E-23	7.00E-20	1	0
4.26E+02	3.64E+14	9.75E-23	1.40E-19	1	0
4.27E+02	3.52E+14	9.49E-23	1.40E-19	1	0
4.28E+02	3.56E+14	9.05E-23	1.20E-19	1	0
4.29E+02	3.29E+14	8.80E-23	1.10E-19	1	0
4.30E+02	2.62E+14	8.92E-23	1.70E-19	1	0
4.31E+02	2.38E+14	9.53E-23	1.30E-19	1	0
4.32E+02	3.96E+14	1.04E-22	1.50E-19	1	0
4.33E+02	3.69E+14	1.11E-22	1.80E-19	1	0
4.34E+02	3.41E+14	1.13E-22	1.80E-19	1	0
4.35E+02	3.74E+14	1.10E-22	1.60E-19	1	0
4.36E+02	4.10E+14	1.11E-22	1.50E-19	1	0
4.37E+02	4.18E+14	1.17E-22	1.80E-19	1	0
4.38E+02	3.67E+14	1.27E-22	2.10E-19	1	0
4.39E+02	3.54E+14	1.48E-22	2.00E-19	1	0
4.40E+02	4.05E+14	1.70E-22	1.90E-19	1	0
4.41E+02	3.99E+14	1.89E-22	1.80E-19	1	0
4.42E+02	4.28E+14	1.97E-22	2.10E-19	1	0
4.43E+02	4.35E+14	2.02E-22	1.80E-19	1	0
4.44E+02	4.23E+14	1.95E-22	1.90E-19	1	0
4.45E+02	4.40E+14	1.83E-22	2.00E-19	1	0
4.46E+02	3.94E+14	1.75E-22	2.40E-19	1	0
4.47E+02	4.48E+14	1.73E-22	2.90E-19	1	0
4.48E+02	4.54E+14	1.83E-22	2.40E-19	1	0
4.49E+02	4.52E+14	2.03E-22	2.80E-19	1	0
4.50E+02	4.69E+14	2.19E-22	2.90E-19	1	0
4.51E+02	4.86E+14	2.22E-22	3.00E-19	1	0
4.52E+02	4.66E+14	2.21E-22	3.30E-19	1	0
4.53E+02	4.30E+14	2.18E-22	3.10E-19	1	0
4.54E+02	4.61E+14	2.22E-22	3.60E-19	1	0
4.55E+02	4.58E+14	2.34E-22	3.60E-19	1	0
4.56E+02	4.74E+14	2.58E-22	3.60E-19	1	0
4.57E+02	4.78E+14	2.95E-22	4.00E-19	1	0
4.58E+02	4.69E+14	3.34E-22	3.70E-19	1	0
4.59E+02	4.65E+14	3.75E-22	4.20E-19	1	0
4.60E+02	4.63E+14	4.06E-22	4.00E-19	1	0
4.61E+02	4.79E+14	4.30E-22	3.90E-19	1	0
4.62E+02	4.83E+14	4.34E-22	4.00E-19	1	0
4.63E+02	4.86E+14	4.18E-22	4.10E-19	1	0
4.64E+02	4.71E+14	3.93E-22	4.80E-19	1	0
4.65E+02	4.65E+14	3.74E-22	5.10E-19	1	0
4.66E+02	4.74E+14	3.67E-22	5.40E-19	1	0
4.67E+02	4.54E+14	3.79E-22	5.70E-19	1	0
4.68E+02	4.74E+14	4.07E-22	5.60E-19	1	0
4.69E+02	4.77E+14	4.33E-22	5.80E-19	1	0
4.70E+02	4.59E+14	4.44E-22	5.90E-19	1	0
4.71E+02	4.67E+14	4.48E-22	6.20E-19	1	0
4.72E+02	4.92E+14	4.48E-22	6.40E-19	1	0
4.73E+02	4.73E+14	4.50E-22	6.20E-19	1	0
4.74E+02	4.80E+14	4.68E-22	6.20E-19	1	0
4.75E+02	4.97E+14	5.04E-22	6.80E-19	1	0
4.76E+02	4.82E+14	5.44E-22	7.80E-19	1	0
4.77E+02	4.86E+14	6.08E-22	7.70E-19	1	0
