Wavelength	Actinix_flux	Br2	BrO	HOBr	BrNO2	BrNO3
3.44E+02	1.48E+14	1.83E-20	7.29E-18	1.22E-19	1.51E-19	7.26E-20
3.45E+02	1.59E+14	2.05E-20	6.67E-18	1.23E-19	1.50E-19	7.17E-20
3.46E+02	1.64E+14	2.29E-20	3.18E-18	1.23E-19	1.51E-19	7.08E-20
3.47E+02	1.69E+14	2.55E-20	1.74E-18	1.23E-19	1.53E-19	6.98E-20
3.48E+02	1.62E+14	2.84E-20	2.74E-18	1.24E-19	1.55E-19	6.87E-20
3.49E+02	1.58E+14	3.15E-20	5.51E-18	1.24E-19	1.58E-19	6.76E-20
3.50E+02	1.78E+14	3.49E-20	5.69E-18	1.24E-19	1.60E-19	6.66E-20
3.51E+02	1.86E+14	3.85E-20	3.38E-18	1.23E-19	1.61E-19	6.56E-20
3.52E+02	1.74E+14	4.25E-20	2.09E-18	1.23E-19	1.60E-19	6.46E-20
3.53E+02	1.74E+14	4.68E-20	1.68E-18	1.22E-19	1.60E-19	6.38E-20
3.54E+02	2.02E+14	5.14E-20	2.04E-18	1.22E-19	1.59E-19	6.29E-20
3.55E+02	2.04E+14	5.63E-20	4.44E-18	1.21E-19	1.60E-19	6.21E-20
3.56E+02	1.84E+14	6.16E-20	4.33E-18	1.20E-19	1.62E-19	6.12E-20
3.57E+02	1.51E+14	6.73E-20	1.68E-18	1.19E-19	1.66E-19	6.02E-20
3.58E+02	1.42E+14	7.33E-20	1.17E-18	1.17E-19	1.70E-19	5.92E-20
3.59E+02	1.55E+14	7.97E-20	1.41E-18	1.16E-19	1.75E-19	5.81E-20
3.60E+02	1.97E+14	8.66E-20	2.09E-18	1.15E-19	1.80E-19	5.69E-20
3.61E+02	1.71E+14	9.38E-20	2.50E-18	1.13E-19	1.84E-19	5.58E-20
3.62E+02	1.75E+14	1.01E-19	2.05E-18	1.11E-19	1.88E-19	5.47E-20
3.63E+02	1.96E+14	1.10E-19	1.38E-18	1.09E-19	1.90E-19	5.37E-20
3.64E+02	1.96E+14	1.18E-19	1.15E-18	1.07E-19	1.91E-19	5.27E-20
3.65E+02	2.02E+14	1.27E-19	1.05E-18	1.05E-19	1.90E-19	5.17E-20
3.66E+02	2.37E+14	1.36E-19	9.09E-19	1.03E-19	1.87E-19	5.07E-20
3.67E+02	2.32E+14	1.46E-19	1.01E-18	1.00E-19	1.82E-19	4.98E-20
3.68E+02	2.14E+14	1.56E-19	1.20E-18	9.79E-20	1.77E-19	4.88E-20
3.69E+02	2.22E+14	1.67E-19	1.09E-18	9.56E-20	1.72E-19	4.77E-20
