Wavelength	Actinix_flux	Br2	BrO	HOBr	BrNO2	BrNO3
5.60E+02	5.04E+14	6.43E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.61E+02	5.34E+14	6.24E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.62E+02	5.10E+14	6.06E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.63E+02	5.30E+14	5.88E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.64E+02	5.21E+14	5.71E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.65E+02	5.26E+14	5.54E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.66E+02	4.99E+14	5.38E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.67E+02	5.33E+14	5.22E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.68E+02	5.32E+14	5.06E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.69E+02	5.25E+14	4.91E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.70E+02	5.25E+14	4.77E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.71E+02	5.07E+14	4.62E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.72E+02	5.39E+14	4.48E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.73E+02	5.43E+14	4.35E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.74E+02	5.41E+14	4.22E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.75E+02	5.31E+14	4.09E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.76E+02	5.27E+14	3.96E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.77E+02	5.41E+14	3.84E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.78E+02	5.24E+14	3.72E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.79E+02	5.29E+14	3.61E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.80E+02	5.36E+14	3.50E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.81E+02	5.36E+14	3.39E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.82E+02	5.43E+14	3.28E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.83E+02	5.47E+14	3.18E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.84E+02	5.45E+14	3.07E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.85E+02	5.41E+14	2.98E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.86E+02	5.29E+14	2.88E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.87E+02	5.43E+14	2.78E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.88E+02	5.39E+14	2.69E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.89E+02	4.82E+14	2.60E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.90E+02	5.11E+14	2.52E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.91E+02	5.38E+14	2.43E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.92E+02	5.33E+14	2.35E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.93E+02	5.35E+14	2.27E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.94E+02	5.35E+14	2.19E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.95E+02	5.33E+14	2.11E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.96E+02	5.39E+14	2.04E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.97E+02	5.43E+14	1.96E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.98E+02	5.34E+14	1.89E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.99E+02	5.32E+14	1.83E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.00E+02	5.35E+14	1.76E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.01E+02	5.27E+14	1.69E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.02E+02	5.20E+14	1.63E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.03E+02	5.31E+14	1.57E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.04E+02	5.41E+14	1.51E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.05E+02	5.40E+14	1.45E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.06E+02	5.36E+14	1.39E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.07E+02	5.39E+14	1.34E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.08E+02	5.36E+14	1.29E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.09E+02	5.32E+14	1.23E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.10E+02	5.29E+14	1.19E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.11E+02	5.27E+14	1.14E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.12E+02	5.35E+14	1.09E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.13E+02	5.28E+14	1.04E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.14E+02	5.12E+14	1.00E-20	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.15E+02	5.30E+14	9.58E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.16E+02	5.16E+14	9.17E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.17E+02	5.10E+14	8.77E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.18E+02	5.30E+14	8.39E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.19E+02	5.33E+14	8.02E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.20E+02	5.34E+14	7.67E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.21E+02	5.39E+14	7.32E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.22E+02	5.26E+14	6.99E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.23E+02	5.28E+14	6.67E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.24E+02	5.24E+14	6.37E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.25E+02	5.17E+14	6.07E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.26E+02	5.17E+14	5.79E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.27E+02	5.34E+14	5.51E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.28E+02	5.35E+14	5.25E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.29E+02	5.34E+14	5.00E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.30E+02	5.28E+14	4.75E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.31E+02	5.27E+14	4.52E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.32E+02	5.06E+14	4.30E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.33E+02	5.34E+14	4.08E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.34E+02	5.23E+14	3.88E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.35E+02	5.28E+14	3.68E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.36E+02	5.15E+14	3.50E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.37E+02	5.33E+14	3.32E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.38E+02	5.35E+14	3.14E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.39E+02	5.32E+14	2.98E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.40E+02	5.20E+14	2.82E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.41E+02	5.20E+14	2.67E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.42E+02	5.20E+14	2.53E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.43E+02	5.26E+14	2.39E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.44E+02	5.23E+14	2.26E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.45E+02	5.28E+14	2.14E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.46E+02	5.17E+14	2.02E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.47E+02	5.23E+14	1.91E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.48E+02	5.23E+14	1.80E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.49E+02	5.07E+14	1.70E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.50E+02	4.99E+14	1.61E-21	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.51E+02	5.29E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.52E+02	5.22E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.53E+02	5.25E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.54E+02	5.19E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.55E+02	5.02E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.56E+02	4.37E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.57E+02	4.58E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.58E+02	5.10E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.59E+02	5.12E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.60E+02	5.18E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.61E+02	5.21E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.62E+02	5.24E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.63E+02	5.22E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.64E+02	5.20E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.65E+02	5.25E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.66E+02	5.21E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.67E+02	5.16E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.68E+02	5.16E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.69E+02	5.25E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.70E+02	5.17E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.71E+02	5.17E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.72E+02	5.10E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.73E+02	5.14E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.74E+02	5.13E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.75E+02	5.09E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.76E+02	5.16E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.77E+02	5.11E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.78E+02	5.14E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.79E+02	5.10E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.80E+02	5.12E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.81E+02	5.10E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.82E+02	5.13E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.83E+02	5.08E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.84E+02	5.05E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.85E+02	5.05E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.86E+02	4.95E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.87E+02	5.09E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.88E+02	5.11E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.89E+02	5.13E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.90E+02	5.14E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.91E+02	5.11E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.92E+02	5.07E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.93E+02	5.09E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.94E+02	5.09E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.95E+02	5.02E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.96E+02	5.05E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.97E+02	5.05E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.98E+02	4.98E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.99E+02	5.05E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.00E+02	5.01E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
