2.5470E25  7.20E-3
2.3113E25  7.20E-3
2.0928E25  7.20E-3
1.8905E25  7.70E-3
1.7036E25  8.12E-3
1.5312E25  8.12E-3
1.3725E25  8.02E-3
1.2267E25  7.61E-3
1.0932E25  7.10E-3
9.7110E24  1.06E-2
8.5976E24  1.40E-2
7.5854E24  2.21E-2
6.4857E24  3.02E-2
5.5430E24  3.32E-2
4.7375E24  3.61E-2
4.0493E24  3.99E-2
3.4612E24  4.36E-2
2.9587E24  4.84E-2
2.5292E24  5.33E-2
2.1622E24  5.15E-2
1.8486E24  4.95E-2
1.5742E24  4.56E-2
1.3413E24  4.15E-2
1.1427E24  3.89E-2
9.7591E23  3.61E-2
8.3341E23  3.26E-2
7.1225E23  2.89E-2
6.0916E23  2.61E-2
5.2138E23  2.36E-2
4.4657E23  2.16E-2
3.8278E23  2.01E-2
3.2833E23  1.94E-2
2.8133E23  1.88E-2
2.4062E23  1.84E-2
2.0558E23  1.80E-2
1.7597E23  1.73E-2
1.5090E23  1.64E-2
1.3124E23  1.49E-2
1.1158E23  1.27E-2
9.7328E22  1.09E-2
8.3077E22  9.34E-3
7.2672E22  7.61E-3
6.2266E22  6.29E-3
5.4616E22  5.28E-3
4.6965E22  4.57E-3
4.1302E22  3.65E-3
3.5640E22  2.84E-3
3.1508E22  2.23E-3
2.7376E22  1.83E-3
2.4364E22  1.42E-3
2.1351E22  1.22E-3
