 TIME Hg_DryDep Hg_WetDep Hg_AerDep HgBr_aq HgBr2_aq HgBrOH_aq HgBrCl_aq HgBrNO2_aq HgBrHO2_aq HgBrO_aq HgOH_aq HgOHOH_aq HgOHCl_aq HgOHNO2_aq HgOHNO2 HgOHHO2_aq HgOHO_aq HgCl_aq HgCl2_aq HgClNO2_aq HgClHO2_aq HgClO_aq HgOHO HgClNO2 HgBrNO2 HgOHHO2 HgCl2 HgOHOH HgBr2 HgBrO HgClO HgClHO2 HgBrHO2 HgBrCl HgOHCl HgBrOH Br2 Cl HgOH HgCl HgBr OH NO Br HO2 BrO Hg O3 NO2 HgII(pg/m3) Hg_dep(kg/m-2/s-1) BrY
  0.9833333333333333E+00   0.1008330528273162E-11   0.2520826330890303E-11   0.1545303001854628E-13   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.3686824909133767E-12   0.5985967649674934E-12   0.0000000000000000E+00   0.1127751011131433E-11   0.3346164912657607E-10   0.1065830904688847E-14   0.2678047230252095E-12   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.7229549327098432E-11   0.0000000000000000E+00   0.0000000000000000E+00   0.3421502124766521E-13   0.0000000000000000E+00   0.1618132153228722E-10   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   0.9605759261422115E-11   0.0000000000000000E+00   0.0000000000000000E+00   0.3936651998229374E-03   0.0000000000000000E+00   0.0000000000000000E+00   0.4718044575013561E-01   0.0000000000000000E+00   0.2679999917745590E-01   0.1000000000000000E+05   0.5000000000000000E+01   0.5925389043053449E-06   0.8719740327387748E-04   0.0000000000000000E+00
  0.1983333333333333E+01   0.1094112427775212E-09   0.2735281080513803E-09   0.1593880948140284E-11   0.9050831231458350E-11   0.2759774109197965E-11   0.8131438157520567E-10   0.2891924980434918E-15   0.2644434224266361E-10   0.2972280440008333E-13   0.1739288515254716E-10   0.1379325248514058E-10   0.2126675033233782E-10   0.1921177403921726E-10   0.3962636241939228E-10   0.1129724226354906E-08   0.4380757815566044E-13   0.1001919889124391E-10   0.7008957283561616E-14   0.5669750108288432E-19   0.8391479653094185E-14   0.0000000000000000E+00   0.5106510715752292E-14   0.2584192007989163E-09   0.2146226074437655E-12   0.8635777469896874E-09   0.1251674157254386E-11   0.3014205707186054E-17   0.5487390085827168E-09   0.1726660411827399E-09   0.5188018124218286E-09   0.1446352060740725E-14   0.0000000000000000E+00   0.9569475918454543E-12   0.1667909531587526E-13   0.9802720042550882E-09   0.2428872462820218E-08   0.3293504426704481E-02   0.2223060354299544E-04   0.3433399105505131E-09   0.1788068535485304E-14   0.2625734078415384E-09   0.5239435462153234E-03   0.5557651026146934E+00   0.4032831698813980E-01   0.5087087709151528E-01   0.6669181231376319E+00   0.2679999917745590E-01   0.1000000000000000E+05   0.5000000000000000E+01   0.6689914233839499E-04   0.9459517501715227E-02   0.1501685738137929E+01
  0.2983333333333333E+01   0.2819959666353454E-09   0.7049899194430249E-09   0.7484321576675371E-11   0.2335149054196564E-10   0.1456030717974025E-10   0.1934319555567299E-09   0.1374068586147591E-14   0.6293381024994787E-10   0.8271090780465679E-13   0.4487457343588938E-10   0.3462528796806211E-10   0.4925331553103070E-10   0.7793856962023803E-10   0.9174576727124704E-10   0.1433867742091637E-08   0.1186306411844785E-12   0.2515154733315703E-10   0.1579633962697028E-13   0.2518082232625219E-18   0.1758549419688442E-13   0.0000000000000000E+00   0.1150850064365716E-13   0.3933873419387709E-09   0.2178412856326197E-12   0.1116862719316356E-08   0.2114053861816548E-11   0.7455197783884011E-17   0.7297164310844597E-09   0.5550720023139455E-09   0.8047892292406649E-09   0.3276429546279958E-14   0.0000000000000000E+00   0.1647148610318227E-11   0.4556438569354791E-13   0.2057793300466261E-08   0.3291386636692703E-08   0.5011174982793138E-02   0.2775786066789556E-04   0.5226645257211516E-09   0.4191554984268841E-14   0.4073323206286904E-09   0.7126751281383677E-03   0.6939465342279529E+00   0.6267896998852397E-01   0.6626396352957717E-01   0.8327358410735436E+00   0.2679999917745590E-01   0.1000000000000000E+05   0.5000000000000000E+01   0.1008187434163460E-03   0.2446396710831412E-01   0.1871488577370997E+01
  0.3983333333333333E+01   0.5590379639649138E-09   0.1397594915571456E-08   0.2012441031973273E-10   0.4864009316624151E-10   0.5088232086546900E-10   0.3588591935178237E-09   0.4035972877149292E-14   0.1133874247861065E-09   0.1854549202295724E-12   0.9346874011964927E-10   0.7042855385406647E-10   0.8938411042582016E-10   0.1804866671567740E-09   0.1617811725540566E-09   0.1939621823403537E-08   0.2596450125256243E-12   0.5115890723280098E-10   0.2749439191482705E-13   0.6705217214998058E-18   0.2713858479599921E-13   0.0000000000000000E+00   0.2002994384560286E-13   0.6782568736203252E-09   0.2191122403041564E-12   0.1553986861333706E-08   0.4023941808203574E-11   0.1517028138950511E-16   0.1052130007298752E-08   0.1677560864218817E-08   0.1426846075711872E-08   0.7059641289001477E-14   0.0000000000000000E+00   0.3224816674843630E-11   0.1074051447816085E-12   0.3299691681868826E-08   0.4879983893611718E-08   0.7354700987915336E-02   0.3727145243802342E-04   0.9011475025931111E-09   0.9175022710789776E-14   0.7222203453721033E-09   0.1060420028274084E-02   0.9317863344894881E+00   0.1114724000197038E+00   0.9043380983637159E-01   0.1118143601387386E+01   0.2679999917745590E-01   0.1000000000000000E+05   0.5000000000000000E+01   0.1615949829692583E-03   0.4862822933046012E-01   0.2265983546002763E+01
  0.4983333333333333E+01   0.1017879880297215E-08   0.2544699711047104E-08   0.4367779952833267E-10   0.9494835778624580E-10   0.1626004972080200E-09   0.6099197030433292E-09   0.1018516502628978E-13   0.1845847451519119E-09   0.3925318920792832E-12   0.1824455361593756E-09   0.1337914132406849E-09   0.1482391360288328E-09   0.3325838565197088E-09   0.2572647342632156E-09   0.2654147034334223E-08   0.5343343947380387E-12   0.9718543173500455E-10   0.4337623516910177E-13   0.1487943666842346E-17   0.3707986105348701E-13   0.0000000000000000E+00   0.3159697585287779E-13   0.1201944813118047E-08   0.2168193131975085E-12   0.2199658863216117E-08   0.7892026071610298E-11   0.2915158432947743E-16   0.1548302266007479E-08   0.5125860110410895E-08   0.2614790027690038E-08   0.1434742665571419E-13   0.0000000000000000E+00   0.6542146198514608E-11   0.2441861101049319E-12   0.4700104759222776E-08   0.7426406652658208E-08   0.1088937760137614E-01   0.5089879166190420E-04   0.1596923695177433E-08   0.1880711360208874E-13   0.1323635269259601E-08   0.1645278917960213E-02   0.1272469823692896E+01   0.2051514049225933E+00   0.1249910713744581E+00   0.1526963788431476E+01   0.2679999917745590E-01   0.1000000000000000E+05   0.5000000000000000E+01   0.2708837489455732E-03   0.8871393181546723E-01   0.2816096375905260E+01
  0.5983333333333333E+01   0.1793099329618454E-08   0.4482748342197827E-08   0.8525019875133062E-10   0.1769690889035563E-09   0.4888602631781118E-09   0.9842300593251367E-09   0.2358806280555761E-13   0.2829677235952797E-09   0.7978258234315581E-12   0.3400203782053290E-09   0.2419922785013837E-09   0.2328301152708325E-09   0.5375352663832953E-09   0.3844177665608090E-09   0.3543204786867438E-08   0.1052699327754539E-11   0.1757821506835568E-09   0.6463589429522016E-13   0.3010977791231493E-17   0.4739146623647047E-13   0.0000000000000000E+00   0.4707725372226230E-13   0.2053445126025421E-08   0.2108206592556898E-12   0.3045116468265713E-08   0.1492504727415973E-10   0.5360761546441538E-16   0.2229781837346086E-08   0.1453156860035699E-07   0.4631151362428264E-08   0.2652200443555353E-13   0.0000000000000000E+00   0.1282894747111921E-10   0.5169109447007212E-12   0.6146365057424671E-08   0.1108781189891317E-07   0.1577133182363354E-01   0.6843416986811815E-04   0.2728225437933849E-08   0.3493606059453354E-13   0.2344624617733502E-08   0.2550174296212903E-02   0.1710854289922769E+01   0.3652253574467210E+00   0.1700731426766365E+00   0.2053025147907322E+01   0.2679999917745590E-01   0.1000000000000000E+05   0.5000000000000000E+01   0.4665464289673372E-03   0.1564830076159632E+00   0.3563307757199266E+01
  0.6983333333333333E+01   0.3107915764845929E-08   0.7769789443576485E-08   0.1568268607168568E-09   0.3131069410420027E-09   0.1331164942665322E-08   0.1519916610784155E-08   0.5010369396609957E-13   0.4135268177156475E-09   0.1542893577888244E-11   0.6015221505873622E-09   0.4152035267044235E-09   0.3495811412948872E-09   0.7928493887754659E-09   0.5470828163476292E-09   0.4545581095559383E-08   0.1971834027741630E-11   0.3016023221458293E-09   0.9228197942517523E-13   0.5714352155202959E-17   0.5803934998795521E-13   0.0000000000000000E+00   0.6720259892005614E-13   0.3289276681756234E-08   0.2019759834194221E-12   0.4049636175531306E-08   0.2646854174275468E-10   0.9354269868435400E-16   0.3082911658889227E-08   0.3581180487423389E-07   0.7687938286758219E-08   0.4377087636831418E-13   0.0000000000000000E+00   0.2358232567072786E-10   0.9811966862723355E-12   0.7458825386612437E-08   0.1588758914701987E-07   0.2196240383064935E-01   0.8941940108522457E-04   0.4370135028966089E-08   0.5782377964400250E-13   0.3892775353446364E-08   0.3858818558269604E-02   0.2235485083603717E+01   0.6097268788780594E+00   0.2253004181743548E+00   0.2682582100324461E+01   0.2679999917745590E-01   0.1000000000000000E+05   0.5000000000000000E+01   0.8029203238677679E-03   0.2714494889008260E+00   0.4532868974342311E+01
  0.7983333333333333E+01   0.5286554569114712E-08   0.1321638647630292E-07   0.2778153610948763E-09   0.5227133551705944E-09   0.3194708902812016E-08   0.2249435429401552E-08   0.9677877555132096E-13   0.5791118207971053E-09   0.2815104085932504E-11   0.1004076404396121E-08   0.6730922720359827E-09   0.5033252742015334E-09   0.1089455510850951E-08   0.7464836023071466E-09   0.5592512084692718E-08   0.3489605110354200E-11   0.4889322499390569E-09   0.1269928322068955E-12   0.1024821218380610E-16   0.6898358035222074E-13   0.0000000000000000E+00   0.9246394418628252E-13   0.4903031871457676E-08   0.1916047501055205E-12   0.5151145092312731E-08   0.4366560721568491E-10   0.1537456563168002E-15   0.4068182019335190E-08   0.7523536652286268E-07   0.1184510977727214E-07   0.6447942439787085E-13   0.0000000000000000E+00   0.4021903025439551E-10   0.1652220172778079E-11   0.8479492105526393E-08   0.2167080708534517E-07   0.2927276175446957E-01   0.1130766427578870E-03   0.6514131289469642E-08   0.8533332985454475E-13   0.5998765751308852E-08   0.5632785345884626E-02   0.2826916140361083E+01   0.9448198137283036E+00   0.2895783549886023E+00   0.3392299368433299E+01   0.2679999917745590E-01   0.1000000000000000E+05   0.5000000000000000E+01   0.1332244248965413E-02   0.4620066076002077E+00   0.5732246734243573E+01
  0.8983333333333333E+01   0.8707109285635162E-08   0.2176777330223064E-07   0.4771124390110796E-09   0.8213198017151781E-09   0.6720392306893670E-08   0.3191556414217078E-08   0.1699044745843851E-12   0.7798999625042048E-09   0.4822785896958067E-11   0.1577454623026357E-08   0.1029901769316857E-08   0.6961534558546401E-09   0.1414241024055525E-08   0.9812056187911081E-09   0.6612369876315157E-08   0.5816037577097113E-11   0.7481184217502402E-09   0.1689099321755748E-12   0.1739854924117019E-16   0.8017331002821586E-13   0.0000000000000000E+00   0.1229617007212549E-12   0.6796455579343026E-08   0.1804339649732950E-12   0.6269682263933174E-08   0.6674933854237433E-10   0.2372398700627170E-15   0.5115996239575248E-08   0.1354911131850075E-06   0.1689875671601020E-07   0.8574110662614530E-13   0.0000000000000000E+00   0.6328646583426560E-10   0.2485423659204564E-11   0.9149438024080939E-08   0.2804904761256364E-07   0.3726935042020980E-01   0.1380045694370797E-03   0.9029670336238359E-08   0.1136045173343538E-12   0.8559589834315548E-08   0.7856626904471031E-02   0.3450114323084212E+01   0.1355176125529056E+01   0.3601175766193908E+00   0.4140137187701054E+01   0.2679999917745590E-01   0.1000000000000000E+05   0.5000000000000000E+01   0.2067750672823204E-02   0.7614190776611711E+00   0.7128526305434456E+01
  0.9983333333333333E+01   0.1367857527792498E-07   0.3419643833328160E-07   0.7927967428548577E-09   0.1214416875560668E-08   0.1247651652531924E-07   0.4342308367033011E-08   0.2727975568275220E-12   0.1012824089693145E-08   0.7735277605416542E-11   0.2332146882192746E-08   0.1488634156774412E-08   0.9261738271002436E-09   0.1754231217713392E-08   0.1247019266583559E-08   0.7528076063015698E-08   0.9112325292910952E-11   0.1081341841509722E-08   0.2174470304190340E-12   0.2796836641614354E-16   0.9154048348142909E-13   0.0000000000000000E+00   0.1582677844871102E-12   0.8762679911914691E-08   0.1707164437088748E-12   0.7307383929134174E-08   0.9414468425220372E-10   0.3426376634640071E-15   0.6124578317650132E-08   0.2117356793462282E-06   0.2230080195121868E-07   0.1046463571361407E-12   0.0000000000000000E+00   0.9137596993171440E-10   0.3379308355733696E-11   0.9517949917712104E-08   0.3437093707544796E-07   0.4519598838574537E-01   0.1619675204238503E-03   0.1164191104565029E-07   0.1387603523755062E-12   0.1129765569595844E-07   0.1036779804239086E-01   0.4049188112887353E+01   0.1796678036181124E+01   0.4317620223181085E+00   0.4859025735464823E+01   0.2679999917745590E-01   0.1000000000000000E+05   0.5000000000000000E+01   0.2946788030656184E-02   0.1197228134709911E+01   0.8626862580694834E+01
